campaign_id,campaign_name,start_date,end_date,channel,region,impressions,clicks,conversions,spend_usd,revenue_usd,target_audience,product_category,device,year,data_source
2025_0001,Campaign_2025_0001,2025-03-04,2025-07-20,Display,North America,7696,3587,15144,11046.09,117455.53,Seniors,Services,Desktop,2025,H1_2025
2025_0002,Campaign_2025_0002,2025-04-05,2025-07-25,Print,Asia,79664,30373,75743,16419.25,92144.07,Youth,Home,Tablet,2025,H1_2025
2025_0003,Campaign_2025_0003,2025-03-18,2025-12-06,Print,North America,33324,89728,79251,33333.21,24070.68,Youth,Clothing,Desktop,2025,H1_2025
2025_0004,Campaign_2025_0004,2025-03-09,2025-11-02,Search,Asia,32528,33793,4948,14340.82,13570.48,Adults,Travel,Mobile,2025,H1_2025
2025_0005,Campaign_2025_0005,2025-05-21,2025-09-28,Email,Africa,80785,35905,36563,37133.14,122995.42,Seniors,Services,Tablet,2025,H1_2025
2025_0006,Campaign_2025_0006,2025-06-10,2025-07-10,Display,Europe,36772,17471,49554,43666.36,105757.18,Youth,Electronics,Tablet,2025,H1_2025
2025_0007,Campaign_2025_0007,2025-01-23,2025-08-26,Print,North America,24472,86287,22748,13124.56,50148.15,Adults,Travel,Tablet,2025,H1_2025
2025_0008,Campaign_2025_0008,2025-01-11,2025-09-02,Social,North America,69052,40676,44216,47580.56,94374.81,Youth,Home,Mobile,2025,H1_2025
2025_0009,Campaign_2025_0009,2025-04-08,2025-10-04,Search,Africa,40392,20122,15615,43992.04,7628.78,Seniors,Home,Desktop,2025,H1_2025
2025_0010,Campaign_2025_0010,2025-02-10,2025-08-28,Social,Europe,5099,7826,63524,8850.79,86144.4,Youth,Home,Mobile,2025,H1_2025
2025_0011,Campaign_2025_0011,2025-06-01,2025-12-30,Print,Europe,72585,64187,84135,3256.29,7963.01,Youth,Services,Tablet,2025,H1_2025
2025_0012,Campaign_2025_0012,2025-04-12,2025-08-20,Social,Asia,41576,38403,4505,40198.02,28616.8,Adults,Clothing,Tablet,2025,H1_2025
2025_0013,Campaign_2025_0013,2025-04-22,2025-11-24,Print,Europe,37455,53306,45858,26160.12,1875.52,Youth,Services,Desktop,2025,H1_2025
2025_0014,Campaign_2025_0014,2025-05-25,2025-07-29,Email,Europe,35728,33238,78833,3056.93,37266.0,Youth,Home,Desktop,2025,H1_2025
2025_0015,Campaign_2025_0015,2025-03-06,2025-11-01,Social,South America,16654,35689,77520,16085.04,88279.12,Seniors,Home,Mobile,2025,H1_2025
2025_0016,Campaign_2025_0016,2025-04-28,2025-12-25,Social,Asia,64650,85547,62753,21673.68,105798.48,Adults,Home,Tablet,2025,H1_2025
