campaign_id,campaign_name,start_date,end_date,channel,region,impressions,clicks,conversions,spend_usd,revenue_usd,target_audience,product_category,device,year,data_source,campaign_duration_days,month,quarter
2024_0001,Campaign_2024_0001,2024-05-16,2024-08-16,Google Ads,South America,28252,5609,65466,39193.43,79017.74,Youth,Electronics,Desktop,1970-01-01 00:00:00.000002024,H1_2024,92,5,2
2024_0002,Campaign_2024_0002,2024-04-06,2024-10-13,Google Ads,Asia,89608,83584,26865,17291.53,49868.54,Adults,Home,Mobile,1970-01-01 00:00:00.000002024,H1_2024,190,4,2
2024_0003,Campaign_2024_0003,2024-05-08,2024-11-27,Facebook Ads,Europe,37853,62661,43662,6729.63,63021.28,Seniors,Electronics,Desktop,1970-01-01 00:00:00.000002024,H1_2024,203,5,2
2024_0004,Campaign_2024_0004,2024-01-28,2024-08-03,Google Display Network,Africa,10577,41421,75023,15077.58,133106.71,Seniors,Clothing,Desktop,1970-01-01 00:00:00.000002024,H1_2024,188,1,1
2024_0005,Campaign_2024_0005,2024-02-06,2024-08-23,Facebook Ads,Asia,84039,56010,11283,16877.69,144736.99,Adults,Home,Mobile,1970-01-01 00:00:00.000002024,H1_2024,199,2,1
2024_0006,Campaign_2024_0006,2024-02-11,2024-12-19,Google Ads,Europe,46728,87560,69277,6698.46,105523.82,Adults,Travel,Mobile,1970-01-01 00:00:00.000002024,H1_2024,312,2,1
2024_0007,Campaign_2024_0007,2024-05-07,2024-09-03,Google Ads,Asia,24269,4485,39619,8269.18,113563.46,Seniors,Home,Mobile,1970-01-01 00:00:00.000002024,H1_2024,119,5,2
2024_0008,Campaign_2024_0008,2024-03-01,2024-09-13,Google Ads,South America,45499,20267,8609,4110.73,59552.89,Seniors,Home,Desktop,1970-01-01 00:00:00.000002024,H1_2024,196,3,1
2024_0009,Campaign_2024_0009,2024-03-15,2024-07-31,TikTok Ads,Asia,14398,79811,62095,14214.98,74892.62,Adults,Services,Mobile,1970-01-01 00:00:00.000002024,H1_2024,138,3,1
2024_0010,Campaign_2024_0010,2024-03-07,2024-10-15,Facebook Ads,Africa,18278,57806,55147,17466.57,38287.83,Youth,Home,Mobile,1970-01-01 00:00:00.000002024,H1_2024,222,3,1
2024_0011,Campaign_2024_0011,2024-06-14,2024-09-15,TikTok Ads,South America,4311,10934,18639,11461.38,84808.12,Seniors,Services,Mobile,1970-01-01 00:00:00.000002024,H1_2024,93,6,2
2024_0012,Campaign_2024_0012,2024-06-07,2024-08-16,TikTok Ads,Asia,66716,7666,32177,25607.12,64846.91,Adults,Home,Desktop,1970-01-01 00:00:00.000002024,H1_2024,70,6,2
2024_0013,Campaign_2024_0013,2024-04-21,2024-12-04,Email,Africa,98943,46357,65021,47608.86,30412.14,Adults,Travel,Tablet,1970-01-01 00:00:00.000002024,H1_2024,227,4,2
2024_0014,Campaign_2024_0014,2024-04-20,2024-07-25,Facebook Ads,Africa,20343,30503,72972,11934.35,80004.33,Youth,Electronics,Desktop,1970-01-01 00:00:00.000002024,H1_2024,96,4,2
2024_0015,Campaign_2024_0015,2024-04-05,2024-08-28,Google Display Network,Africa,17080,57759,13715,36585.24,115748.79,Seniors,Services,Tablet,1970-01-01 00:00:00.000002024,H1_2024,145,4,2
2024_0016,Campaign_2024_0016,2024-04-21,2024-10-30,Facebook Ads,South America,85633,10279,10732,32425.13,80711.36,Adults,Electronics,Desktop,1970-01-01 00:00:00.000002024,H1_2024,192,4,2
2024_0017,Campaign_2024_0017,2024-01-12,2024-08-21,Google Ads,Europe,67975,6676,65981,11513.53,113882.0,Seniors,Clothing,Desktop,1970-01-01 00:00:00.000002024,H1_2024,222,1,1
2024_0018,Campaign_2024_0018,2024-01-29,2024-07-27,Email,Europe,77273,16762,12596,9645.59,45565.05,Seniors,Services,Tablet,1970-01-01 00:00:00.000002024,H1_2024,180,1,1
2024_0019,Campaign_2024_0019,2024-04-01,2024-07-05,Email,Africa,84610,16390,12752,14003.72,45511.92,Youth,Home,Desktop,1970-01-01 00:00:00.000002024,H1_2024,95,4,2
2024_0020,Campaign_2024_0020,2024-02-09,2024-12-20,Email,Europe,31201,65532,67655,3138.13,98860.93,Seniors,Travel,Tablet,1970-01-01 00:00:00.000002024,H1_2024,315,2,1
2024_0021,Campaign_2024_0021,2024-02-24,2024-10-14,Google Ads,Asia,56514,12769,70766,10585.37,121133.22,Seniors,Clothing,Tablet,1970-01-01 00:00:00.000002024,H1_2024,233,2,1
2024_0022,Campaign_2024_0022,2024-04-24,2024-09-22,Google Ads,Europe,19684,39913,72090,46531.61,27387.77,Adults,Travel,Desktop,1970-01-01 00:00:00.000002024,H1_2024,151,4,2
2024_0023,Campaign_2024_0023,2024-03-14,2024-09-19,TikTok Ads,Asia,81396,5683,17296,27942.73,123438.78,Seniors,Home,Desktop,1970-01-01 00:00:00.000002024,H1_2024,189,3,1
2024_0024,Campaign_2024_0024,2024-04-12,2024-09-20,Facebook Ads,Europe,59813,2255,57289,1397.89,145244.35,Adults,Travel,Tablet,1970-01-01 00:00:00.000002024,H1_2024,161,4,2
2024_0025,Campaign_2024_0025,2024-02-12,2024-11-29,TikTok Ads,Asia,47910,65112,17020,49019.12,30281.39,Youth,Services,Tablet,1970-01-01 00:00:00.000002024,H1_2024,291,2,1
2024_0026,Campaign_2024_0026,2024-02-01,2024-11-02,TikTok Ads,South America,36621,69829,58207,37118.57,10409.13,Adults,Clothing,Desktop,1970-01-01 00:00:00.000002024,H1_2024,275,2,1
2024_0027,Campaign_2024_0027,2024-04-07,2024-11-22,Google Ads,North America,4943,22990,9608,14406.6,134350.46,Youth,Travel,Mobile,1970-01-01 00:00:00.000002024,H1_2024,229,4,2
2024_0028,Campaign_2024_0028,2024-05-30,2024-10-09,Facebook Ads,Asia,45970,63791,60320,7834.12,55485.39,Seniors,Travel,Mobile,1970-01-01 00:00:00.000002024,H1_2024,132,5,2
2024_0029,Campaign_2024_0029,2024-01-28,2024-08-26,TikTok Ads,South America,47883,30986,28007,42486.61,21390.73,Adults,Travel,Mobile,1970-01-01 00:00:00.000002024,H1_2024,211,1,1
2024_0030,Campaign_2024_0030,2024-03-27,2024-08-29,Facebook Ads,Africa,23959,78522,38410,26063.2,101074.85,Adults,Clothing,Desktop,1970-01-01 00:00:00.000002024,H1_2024,155,3,1
2024_0031,Campaign_2024_0031,2024-04-29,2024-09-17,Google Display Network,North America,4588,71132,22892,37399.15,71727.03,Seniors,Clothing,Desktop,1970-01-01 00:00:00.000002024,H1_2024,141,4,2
2024_0032,Campaign_2024_0032,2024-03-10,2024-10-15,Facebook Ads,Asia,35277,73509,15243,20745.53,66955.93,Youth,Home,Desktop,1970-01-01 00:00:00.000002024,H1_2024,219,3,1
2024_0033,Campaign_2024_0033,2024-06-06,2024-11-06,Email,North America,49862,79986,29656,29968.78,80443.67,Adults,Travel,Mobile,1970-01-01 00:00:00.000002024,H1_2024,153,6,2
2024_0034,Campaign_2024_0034,2024-03-02,2024-09-20,TikTok Ads,Europe,5689,64821,23753,24231.04,142184.57,Seniors,Home,Tablet,1970-01-01 00:00:00.000002024,H1_2024,202,3,1
2024_0035,Campaign_2024_0035,2024-02-24,2024-11-01,Google Ads,Asia,63413,50537,3016,4833.42,15209.2,Seniors,Clothing,Desktop,1970-01-01 00:00:00.000002024,H1_2024,251,2,1
2024_0036,Campaign_2024_0036,2024-05-12,2024-10-22,Email,North America,70255,61285,14457,3308.99,120178.5,Adults,Travel,Desktop,1970-01-01 00:00:00.000002024,H1_2024,163,5,2
2024_0037,Campaign_2024_0037,2024-02-27,2024-09-05,Email,Asia,25690,49543,25341,32629.48,72987.66,Seniors,Clothing,Mobile,1970-01-01 00:00:00.000002024,H1_2024,191,2,1
2024_0038,Campaign_2024_0038,2024-03-27,2024-07-29,Google Display Network,Europe,92503,58515,17864,27703.05,18978.74,Adults,Electronics,Desktop,1970-01-01 00:00:00.000002024,H1_2024,124,3,1
2024_0039,Campaign_2024_0039,2024-02-24,2024-10-26,Email,North America,11125,55190,58874,30690.19,21674.4,Seniors,Electronics,Desktop,1970-01-01 00:00:00.000002024,H1_2024,245,2,1
2024_0040,Campaign_2024_0040,2024-05-28,2024-07-27,Facebook Ads,Asia,95713,45438,33159,31526.83,113919.15,Seniors,Electronics,Tablet,1970-01-01 00:00:00.000002024,H1_2024,60,5,2
2024_0041,Campaign_2024_0041,2024-05-06,2024-12-08,Facebook Ads,Asia,3485,57941,25568,18556.14,94680.29,Adults,Travel,Mobile,1970-01-01 00:00:00.000002024,H1_2024,216,5,2
2024_0042,Campaign_2024_0042,2024-05-16,2024-12-08,Google Display Network,Europe,10382,8583,11431,37663.78,73331.65,Seniors,Clothing,Tablet,1970-01-01 00:00:00.000002024,H1_2024,206,5,2
2024_0043,Campaign_2024_0043,2024-01-19,2024-09-21,Facebook Ads,Asia,22095,59258,74163,41328.47,64193.87,Adults,Electronics,Mobile,1970-01-01 00:00:00.000002024,H1_2024,246,1,1
