campaign_id,campaign_name,start_date,end_date,channel,region,impressions,clicks,conversions,spend_usd,revenue_usd,target_audience,product_category,device,year
2024_0001,Campaign_2024_0001,2024-02-06,2024-10-29,Print,North America,98331,7575,5651,5388.54,16034.82,Youth,Electronics,Tablet,2024
2024_0002,Campaign_2024_0002,2024-01-31,2024-04-13,Social,Asia,7434,2848,542,25115.44,29488.38,Youth,Electronics,Tablet,2024
2024_0003,Campaign_2024_0003,2024-01-13,2024-07-17,Email,Asia,93676,67404,32708,47090.84,65441.18,Adults,Electronics,Tablet,2024
2024_0004,Campaign_2024_0004,2024-01-02,2024-03-03,Email,Europe,46596,34586,17099,6856.25,17325.38,Adults,Services,Mobile,2024
2024_0005,Campaign_2024_0005,2024-04-24,2024-11-24,Email,Africa,61629,1750,584,1888.24,2351.42,Adults,Services,Mobile,2024
2024_0006,Campaign_2024_0006,2024-05-05,2024-06-14,Social,Africa,11127,9104,5880,14566.38,29791.8,Youth,Electronics,Mobile,2024
2024_0007,Campaign_2024_0007,2024-05-16,2024-11-19,Print,Asia,61888,52189,22542,19489.88,52407.41,Seniors,Services,Mobile,2024
2024_0008,Campaign_2024_0008,2024-06-18,2024-12-11,Search,South America,2391,1112,296,31370.78,82014.08,Youth,Food,Mobile,2024
2024_0009,Campaign_2024_0009,2024-06-17,2024-12-22,Social,South America,48027,2687,629,46039.97,76404.73,Youth,Clothing,Desktop,2024
2024_0010,Campaign_2024_0010,2024-06-12,2024-12-19,Search,Asia,65265,3404,3231,27495.82,59560.05,Seniors,Clothing,Mobile,2024
2024_0011,Campaign_2024_0011,2024-04-26,2024-05-21,Display,North America,34982,10812,523,6168.76,13048.67,Adults,Food,Tablet,2024
2024_0012,Campaign_2024_0012,2024-03-25,2024-12-18,Search,Europe,46614,11681,3827,33213.92,48254.73,Youth,Food,Desktop,2024
2024_0013,Campaign_2024_0013,2024-04-11,2024-08-26,Social,Africa,53114,17013,9216,30591.53,60161.69,Seniors,Services,Desktop,2024
2024_0014,Campaign_2024_0014,2024-03-11,2024-07-07,Email,Asia,17483,11059,10462,8446.79,9966.18,Adults,Electronics,Tablet,2024
2024_0015,Campaign_2024_0015,2024-03-09,2024-05-24,Display,Europe,24620,2357,1952,3789.93,9112.87,Adults,Clothing,Mobile,2024
2024_0016,Campaign_2024_0016,2024-05-01,2024-12-02,Social,Europe,78313,373,327,14163.14,36005.61,Seniors,Software,Tablet,2024
2024_0017,Campaign_2024_0017,2024-03-03,2024-09-18,Social,North America,26184,24163,17106,31031.31,52886.14,Seniors,Electronics,Mobile,2024
2024_0018,Campaign_2024_0018,2024-06-16,2024-08-11,Social,Europe,1542,935,914,24387.33,37771.2,Youth,Clothing,Tablet,2024
2024_0019,Campaign_2024_0019,2024-02-18,2024-06-27,Social,North America,22891,631,323,2207.9,3623.02,Adults,Software,Tablet,2024
2024_0020,Campaign_2024_0020,2024-03-13,2024-11-14,TV,Europe,20647,17774,8153,21367.78,50720.3,Adults,Clothing,Desktop,2024
2024_0021,Campaign_2024_0021,2024-03-06,2024-11-19,Social,Europe,91357,24231,14284,15684.29,28846.31,Adults,Food,Desktop,2024
2024_0022,Campaign_2024_0022,2024-04-24,2024-12-30,Social,South America,39364,18383,4178,6920.14,19088.52,Adults,Electronics,Tablet,2024
2024_0023,Campaign_2024_0023,2024-03-07,2024-07-21,Search,Africa,19706,3170,361,17769.04,25441.7,Seniors,Clothing,Desktop,2024
2024_0024,Campaign_2024_0024,2024-02-01,2024-03-14,Print,Europe,30026,6463,388,37736.21,70456.42,Seniors,Software,Desktop,2024
2024_0025,Campaign_2024_0025,2024-03-27,2024-05-20,Email,Asia,55701,5538,666,44516.9,111005.25,Youth,Software,Tablet,2024
2024_0026,Campaign_2024_0026,2024-02-27,2024-03-01,Display,North America,84124,58795,47476,36936.47,43168.95,Adults,Services,Tablet,2024
2024_0027,Campaign_2024_0027,2024-02-08,2024-02-25,Print,North America,13432,7353,554,21450.14,55312.59,Seniors,Clothing,Tablet,2024
2024_0028,Campaign_2024_0028,2024-04-24,2024-05-22,Email,Asia,33998,801,559,27049.42,60438.8,Seniors,Clothing,Desktop,2024
2024_0029,Campaign_2024_0029,2024-06-24,2024-08-11,Email,Africa,97857,44015,11014,13648.73,39532.82,Seniors,Clothing,Tablet,2024
2024_0030,Campaign_2024_0030,2024-05-07,2024-08-24,Social,North America,14263,4613,315,8707.16,15787.57,Youth,Clothing,Mobile,2024
2024_0031,Campaign_2024_0031,2024-05-27,2024-06-06,Social,North America,85694,26291,7965,18620.26,38574.42,Adults,Food,Desktop,2024
2024_0032,Campaign_2024_0032,2024-06-23,2024-11-20,Social,North America,67711,51075,30878,13877.86,27274.89,Seniors,Food,Mobile,2024
2024_0033,Campaign_2024_0033,2024-05-20,2024-05-23,Email,South America,20937,16840,10008,35841.84,96438.22,Youth,Food,Tablet,2024
2024_0034,Campaign_2024_0034,2024-02-10,2024-09-30,Display,Europe,70189,41394,38341,47198.58,101848.44,Adults,Food,Tablet,2024
2024_0035,Campaign_2024_0035,2024-05-23,2024-07-12,TV,South America,86373,53023,12773,31777.92,50752.94,Youth,Food,Desktop,2024
2024_0036,Campaign_2024_0036,2024-03-07,2024-07-25,Social,Europe,18748,7028,3826,10738.63,32150.4,Seniors,Software,Mobile,2024
2024_0037,Campaign_2024_0037,2024-03-15,2024-12-02,Email,Africa,53785,35817,6208,43731.79,85536.26,Adults,Clothing,Desktop,2024
2024_0038,Campaign_2024_0038,2024-06-15,2024-10-05,Social,South America,77966,76009,52539,34682.75,82629.35,Youth,Clothing,Desktop,2024
2024_0039,Campaign_2024_0039,2024-03-24,2024-11-07,TV,Africa,17354,2916,735,36926.93,104026.61,Adults,Electronics,Desktop,2024
2024_0040,Campaign_2024_0040,2024-04-24,2024-06-22,Display,Asia,63605,54771,48307,32350.1,72062.76,Youth,Software,Tablet,2024
2024_0041,Campaign_2024_0041,2024-06-11,2024-08-07,Email,Asia,2431,1869,1038,44122.05,58972.7,Youth,Food,Desktop,2024
2024_0042,Campaign_2024_0042,2024-01-08,2024-05-30,Search,Asia,54432,44359,31128,42795.45,48126.11,Seniors,Electronics,Mobile,2024
2024_0043,Campaign_2024_0043,2024-04-07,2024-09-04,Display,North America,25186,11139,2433,6862.12,19228.07,Adults,Food,Mobile,2024
2024_0044,Campaign_2024_0044,2024-01-16,2024-02-24,Display,North America,60231,22100,18480,48505.76,119185.5,Seniors,Electronics,Desktop,2024
2024_0045,Campaign_2024_0045,2024-02-29,2024-10-23,TV,Africa,36247,5036,4975,27360.0,38958.58,Adults,Food,Desktop,2024
2024_0046,Campaign_2024_0046,2024-02-02,2024-05-10,Social,Africa,61663,55582,43763,31882.99,80846.87,Adults,Electronics,Desktop,2024
2024_0047,Campaign_2024_0047,2024-04-14,2024-11-26,TV,North America,99725,85393,31720,9930.39,21451.18,Youth,Food,Mobile,2024
2024_0048,Campaign_2024_0048,2024-05-25,2024-11-20,Print,Africa,80984,80076,31486,27269.24,44378.48,Youth,Food,Desktop,2024
2024_0049,Campaign_2024_0049,2024-05-18,2024-06-04,Display,North America,65859,41024,4444,22352.79,44535.33,Youth,Clothing,Tablet,2024
2024_0050,Campaign_2024_0050,2024-01-05,2024-02-27,Print,Africa,3073,1268,1260,41436.71,106228.58,Adults,Food,Tablet,2024
2024_0051,Campaign_2024_0051,2024-03-01,2024-11-06,Search,Africa,19090,14147,5738,6990.06,19506.45,Youth,Services,Tablet,2024
2024_0052,Campaign_2024_0052,2024-05-31,2024-12-02,Display,Africa,54053,4876,1803,38830.04,47404.81,Youth,Software,Tablet,2024
2024_0053,Campaign_2024_0053,2024-06-14,2024-10-06,Search,Asia,80039,64294,49548,18321.22,27212.93,Adults,Electronics,Tablet,2024
2024_0054,Campaign_2024_0054,2024-01-23,2024-05-23,Email,Europe,18281,2176,631,28373.17,55404.34,Adults,Electronics,Tablet,2024
2024_0055,Campaign_2024_0055,2024-05-14,2024-12-21,Display,South America,97808,39718,26010,36360.93,82290.9,Youth,Services,Mobile,2024
2024_0056,Campaign_2024_0056,2024-05-10,2024-06-17,Social,Africa,42528,16680,5685,48677.14,95702.16,Seniors,Services,Tablet,2024
2024_0057,Campaign_2024_0057,2024-03-17,2024-07-22,Social,Europe,51178,9330,4967,26284.83,43888.67,Seniors,Software,Desktop,2024
2024_0058,Campaign_2024_0058,2024-06-24,2024-11-06,Email,Asia,87046,49623,832,22134.33,48498.81,Adults,Clothing,Mobile,2024
2024_0059,Campaign_2024_0059,2024-05-08,2024-11-21,Display,Africa,38242,330,226,15107.27,30498.0,Adults,Electronics,Desktop,2024
2024_0060,Campaign_2024_0060,2024-02-22,2024-04-04,Search,Asia,94275,33896,33636,25418.19,73342.98,Youth,Food,Tablet,2024
2024_0061,Campaign_2024_0061,2024-03-02,2024-07-22,Display,South America,44326,18091,679,22673.19,45784.87,Youth,Food,Mobile,2024
2024_0062,Campaign_2024_0062,2024-04-23,2024-09-27,TV,Europe,1558,140,33,30380.42,64543.16,Seniors,Electronics,Desktop,2024
2024_0063,Campaign_2024_0063,2024-06-27,2024-09-14,Social,Africa,12768,1337,339,30621.02,55328.59,Youth,Software,Mobile,2024
2024_0064,Campaign_2024_0064,2024-03-23,2024-07-06,Social,Europe,52882,12717,2031,2992.76,5071.29,Youth,Electronics,Desktop,2024
2024_0065,Campaign_2024_0065,2024-04-11,2024-08-21,Display,Europe,11445,4709,4141,10813.92,19351.23,Seniors,Software,Mobile,2024
2024_0066,Campaign_2024_0066,2024-03-05,2024-08-31,Social,Africa,90688,67737,22081,2010.36,4012.03,Adults,Software,Tablet,2024
2024_0067,Campaign_2024_0067,2024-05-27,2024-07-02,Print,Europe,4589,3074,1982,42922.65,113361.12,Seniors,Clothing,Tablet,2024
2024_0068,Campaign_2024_0068,2024-05-02,2024-05-16,Display,South America,84552,26924,14626,48195.41,120574.21,Adults,Clothing,Desktop,2024
2024_0069,Campaign_2024_0069,2024-04-04,2024-10-16,Social,Europe,40178,24286,5835,34601.83,51009.13,Youth,Software,Mobile,2024
2024_0070,Campaign_2024_0070,2024-04-22,2024-08-10,Print,South America,42924,25119,21705,30192.69,46130.94,Youth,Electronics,Desktop,2024
2024_0071,Campaign_2024_0071,2024-06-26,2024-07-18,Search,Europe,47183,32527,17161,45421.03,57369.62,Seniors,Clothing,Mobile,2024
2024_0072,Campaign_2024_0072,2024-04-04,2024-08-14,Email,North America,63733,13789,11523,6899.89,17079.82,Youth,Electronics,Desktop,2024
2024_0073,Campaign_2024_0073,2024-04-24,2024-11-11,Social,Asia,17665,11304,3495,28085.09,32763.0,Adults,Services,Tablet,2024
2024_0074,Campaign_2024_0074,2024-03-16,2024-08-13,Social,Africa,9146,7071,752,5701.23,14995.1,Seniors,Electronics,Mobile,2024
2024_0075,Campaign_2024_0075,2024-06-25,2024-11-09,TV,North America,68599,60346,50544,43263.29,115649.81,Youth,Clothing,Mobile,2024
2024_0076,Campaign_2024_0076,2024-01-17,2024-09-28,Email,Europe,62063,17771,1718,3974.18,6715.37,Youth,Food,Desktop,2024
2024_0077,Campaign_2024_0077,2024-02-12,2024-04-25,Social,Africa,55147,13515,12217,27390.31,32263.34,Youth,Clothing,Tablet,2024
2024_0078,Campaign_2024_0078,2024-01-06,2024-01-09,Print,South America,72471,34626,24899,1007.23,2257.96,Seniors,Clothing,Mobile,2024
2024_0079,Campaign_2024_0079,2024-03-22,2024-12-14,Social,Europe,37342,32924,22429,43163.29,93388.11,Youth,Electronics,Tablet,2024
2024_0080,Campaign_2024_0080,2024-01-04,2024-09-15,Display,North America,15889,15264,4252,27396.32,78880.42,Adults,Electronics,Mobile,2024
2024_0081,Campaign_2024_0081,2024-05-24,2024-08-13,Social,Africa,19276,9315,4006,46576.19,115556.38,Youth,Clothing,Mobile,2024
2024_0082,Campaign_2024_0082,2024-04-12,2024-06-05,Display,Asia,46397,37879,24950,12349.02,22864.86,Seniors,Services,Mobile,2024
2024_0083,Campaign_2024_0083,2024-02-05,2024-05-30,Display,Europe,24322,10311,9580,23123.25,53356.04,Youth,Food,Desktop,2024
2024_0084,Campaign_2024_0084,2024-05-07,2024-07-10,TV,South America,67231,15157,6095,33541.59,48529.3,Seniors,Services,Mobile,2024
2024_0085,Campaign_2024_0085,2024-03-19,2024-04-21,Print,Europe,23270,12326,2772,23313.2,42772.68,Seniors,Software,Mobile,2024
2024_0086,Campaign_2024_0086,2024-03-28,2024-08-28,Print,Africa,20549,2141,1687,13009.5,26897.28,Youth,Food,Desktop,2024
2024_0087,Campaign_2024_0087,2024-06-15,2024-07-29,TV,Africa,70786,432,9,30134.16,72718.95,Seniors,Services,Desktop,2024
2024_0088,Campaign_2024_0088,2024-01-09,2024-07-18,TV,Europe,94731,55837,25944,21927.11,51201.48,Youth,Services,Desktop,2024
2024_0089,Campaign_2024_0089,2024-04-10,2024-04-30,Search,Asia,51977,11795,8133,43739.73,63299.27,Youth,Software,Mobile,2024
2024_0090,Campaign_2024_0090,2024-03-31,2024-08-26,Email,Africa,8709,2799,450,45252.34,99590.07,Youth,Software,Desktop,2024
2024_0091,Campaign_2024_0091,2024-06-11,2024-06-18,Print,South America,39460,23590,12145,8471.53,10039.84,Adults,Software,Mobile,2024
2024_0092,Campaign_2024_0092,2024-02-19,2024-02-25,Display,Europe,84059,40739,20667,5078.35,5792.09,Adults,Services,Mobile,2024
2024_0093,Campaign_2024_0093,2024-05-28,2024-12-07,TV,Asia,56924,41752,15704,12445.18,34071.63,Adults,Electronics,Tablet,2024
2024_0094,Campaign_2024_0094,2024-03-15,2024-07-01,TV,Europe,28677,28447,27355,11041.35,19209.61,Youth,Software,Desktop,2024
2024_0095,Campaign_2024_0095,2024-01-04,2024-03-03,TV,Europe,1883,916,545,27060.67,62030.27,Seniors,Services,Desktop,2024
