campaign_id,campaign_name,start_date,end_date,channel,region,impressions,clicks,conversions,spend_usd,revenue_usd,target_audience,product_category,device,year
2024_0001,Campaign_2024_0001,2024-05-16,2024-08-16,Search,South America,28252,5609,65466,39193.43,79017.74,Youth,Electronics,Desktop,2024
2024_0002,Campaign_2024_0002,2024-04-06,2024-10-13,Search,Asia,89608,83584,26865,17291.53,49868.54,Adults,Home,Mobile,2024
2024_0003,Campaign_2024_0003,2024-05-08,2024-11-27,Social,Europe,37853,62661,43662,6729.63,63021.28,Seniors,Electronics,Desktop,2024
2024_0004,Campaign_2024_0004,2024-01-28,2024-08-03,Display,Africa,10577,41421,75023,15077.58,133106.71,Seniors,Clothing,Desktop,2024
2024_0005,Campaign_2024_0005,2024-02-06,2024-08-23,Social,Asia,84039,56010,11283,16877.69,144736.99,Adults,Home,Mobile,2024
2024_0006,Campaign_2024_0006,2024-02-11,2024-12-19,Search,Europe,46728,87560,69277,6698.46,105523.82,Adults,Travel,Mobile,2024
2024_0007,Campaign_2024_0007,2024-05-07,2024-09-03,Search,Asia,24269,4485,39619,8269.18,113563.46,Seniors,Home,Mobile,2024
2024_0008,Campaign_2024_0008,2024-03-01,2024-09-13,Search,South America,45499,20267,8609,4110.73,59552.89,Seniors,Home,Desktop,2024
2024_0009,Campaign_2024_0009,2024-03-15,2024-07-31,Print,Asia,14398,79811,62095,14214.98,74892.62,Adults,Services,Mobile,2024
2024_0010,Campaign_2024_0010,2024-03-07,2024-10-15,Social,Africa,18278,57806,55147,17466.57,38287.83,Youth,Home,Mobile,2024
2024_0011,Campaign_2024_0011,2024-06-14,2024-09-15,Print,South America,4311,10934,18639,11461.38,84808.12,Seniors,Services,Mobile,2024
2024_0012,Campaign_2024_0012,2024-06-07,2024-08-16,Print,Asia,66716,7666,32177,25607.12,64846.91,Adults,Home,Desktop,2024
2024_0013,Campaign_2024_0013,2024-04-21,2024-12-04,Email,Africa,98943,46357,65021,47608.86,30412.14,Adults,Travel,Tablet,2024
2024_0014,Campaign_2024_0014,2024-04-20,2024-07-25,Social,Africa,20343,30503,72972,11934.35,80004.33,Youth,Electronics,Desktop,2024
2024_0015,Campaign_2024_0015,2024-04-05,2024-08-28,Display,Africa,17080,57759,13715,36585.24,115748.79,Seniors,Services,Tablet,2024
2024_0016,Campaign_2024_0016,2024-04-21,2024-10-30,Social,South America,85633,10279,10732,32425.13,80711.36,Adults,Electronics,Desktop,2024
2024_0017,Campaign_2024_0017,2024-01-12,2024-08-21,Search,Europe,67975,6676,65981,11513.53,113882.0,Seniors,Clothing,Desktop,2024
2024_0018,Campaign_2024_0018,2024-01-29,2024-07-27,Email,Europe,77273,16762,12596,9645.59,45565.05,Seniors,Services,Tablet,2024
2024_0019,Campaign_2024_0019,2024-04-01,2024-07-05,Email,Africa,84610,16390,12752,14003.72,45511.92,Youth,Home,Desktop,2024
2024_0020,Campaign_2024_0020,2024-02-09,2024-12-20,Email,Europe,31201,65532,67655,3138.13,98860.93,Seniors,Travel,Tablet,2024
2024_0021,Campaign_2024_0021,2024-02-24,2024-10-14,Search,Asia,56514,12769,70766,10585.37,121133.22,Seniors,Clothing,Tablet,2024
2024_0022,Campaign_2024_0022,2024-04-24,2024-09-22,Search,Europe,19684,39913,72090,46531.61,27387.77,Adults,Travel,Desktop,2024
2024_0023,Campaign_2024_0023,2024-03-14,2024-09-19,Print,Asia,81396,5683,17296,27942.73,123438.78,Seniors,Home,Desktop,2024
2024_0024,Campaign_2024_0024,2024-04-12,2024-09-20,Social,Europe,59813,2255,57289,1397.89,145244.35,Adults,Travel,Tablet,2024
2024_0025,Campaign_2024_0025,2024-02-12,2024-11-29,Print,Asia,47910,65112,17020,49019.12,30281.39,Youth,Services,Tablet,2024
2024_0026,Campaign_2024_0026,2024-02-01,2024-11-02,Print,South America,36621,69829,58207,37118.57,10409.13,Adults,Clothing,Desktop,2024
2024_0027,Campaign_2024_0027,2024-04-07,2024-11-22,Search,North America,4943,22990,9608,14406.6,134350.46,Youth,Travel,Mobile,2024
2024_0028,Campaign_2024_0028,2024-05-30,2024-10-09,Social,Asia,45970,63791,60320,7834.12,55485.39,Seniors,Travel,Mobile,2024
2024_0029,Campaign_2024_0029,2024-01-28,2024-08-26,Print,South America,47883,30986,28007,42486.61,21390.73,Adults,Travel,Mobile,2024
2024_0030,Campaign_2024_0030,2024-03-27,2024-08-29,Social,Africa,23959,78522,38410,26063.2,101074.85,Adults,Clothing,Desktop,2024
2024_0031,Campaign_2024_0031,2024-04-29,2024-09-17,Display,North America,4588,71132,22892,37399.15,71727.03,Seniors,Clothing,Desktop,2024
2024_0032,Campaign_2024_0032,2024-03-10,2024-10-15,Social,Asia,35277,73509,15243,20745.53,66955.93,Youth,Home,Desktop,2024
2024_0033,Campaign_2024_0033,2024-06-06,2024-11-06,Email,North America,49862,79986,29656,29968.78,80443.67,Adults,Travel,Mobile,2024
2024_0034,Campaign_2024_0034,2024-03-02,2024-09-20,Print,Europe,5689,64821,23753,24231.04,142184.57,Seniors,Home,Tablet,2024
2024_0035,Campaign_2024_0035,2024-02-24,2024-11-01,Search,Asia,63413,50537,3016,4833.42,15209.2,Seniors,Clothing,Desktop,2024
2024_0036,Campaign_2024_0036,2024-05-12,2024-10-22,Email,North America,70255,61285,14457,3308.99,120178.5,Adults,Travel,Desktop,2024
2024_0037,Campaign_2024_0037,2024-02-27,2024-09-05,Email,Asia,25690,49543,25341,32629.48,72987.66,Seniors,Clothing,Mobile,2024
2024_0038,Campaign_2024_0038,2024-03-27,2024-07-29,Display,Europe,92503,58515,17864,27703.05,18978.74,Adults,Electronics,Desktop,2024
2024_0039,Campaign_2024_0039,2024-02-24,2024-10-26,Email,North America,11125,55190,58874,30690.19,21674.4,Seniors,Electronics,Desktop,2024
2024_0040,Campaign_2024_0040,2024-05-28,2024-07-27,Social,Asia,95713,45438,33159,31526.83,113919.15,Seniors,Electronics,Tablet,2024
2024_0041,Campaign_2024_0041,2024-05-06,2024-12-08,Social,Asia,3485,57941,25568,18556.14,94680.29,Adults,Travel,Mobile,2024
2024_0042,Campaign_2024_0042,2024-05-16,2024-12-08,Display,Europe,10382,8583,11431,37663.78,73331.65,Seniors,Clothing,Tablet,2024
2024_0043,Campaign_2024_0043,2024-01-19,2024-09-21,Social,Asia,22095,59258,74163,41328.47,64193.87,Adults,Electronics,Mobile,2024
2024_0044,Campaign_2024_0044,2024-04-07,2024-12-15,Print,Europe,66961,3795,25864,13425.61,104031.45,Adults,Clothing,Tablet,2024
2024_0045,Campaign_2024_0045,2024-03-31,2024-09-19,Email,North America,78404,77578,29982,21926.67,120003.86,Adults,Electronics,Desktop,2024
2024_0046,Campaign_2024_0046,2024-05-15,2024-07-12,Email,North America,22519,21391,60489,22745.75,100596.49,Youth,Electronics,Desktop,2024
2024_0047,Campaign_2024_0047,2024-06-25,2024-12-05,Social,Africa,1258,40674,82286,38228.24,106614.84,Seniors,Home,Tablet,2024
2024_0048,Campaign_2024_0048,2024-06-30,2024-11-01,Search,Asia,75146,44695,11228,28015.04,53986.52,Seniors,Electronics,Desktop,2024
2024_0049,Campaign_2024_0049,2024-04-04,2024-07-11,Display,Europe,6434,1182,35161,28154.96,125835.33,Youth,Travel,Tablet,2024
2024_0050,Campaign_2024_0050,2024-05-21,2024-12-06,Search,South America,53764,83564,65773,20847.08,75434.02,Seniors,Travel,Desktop,2024
2024_0051,Campaign_2024_0051,2024-04-06,2024-09-10,Print,Africa,65027,79297,30220,42303.24,36955.16,Adults,Clothing,Desktop,2024
2024_0052,Campaign_2024_0052,2024-05-08,2024-07-12,Social,Africa,87869,51085,61355,5483.54,12757.79,Youth,Clothing,Tablet,2024
2024_0053,Campaign_2024_0053,2024-02-13,2024-08-12,Search,South America,40718,52667,51999,4506.22,54564.76,Adults,Electronics,Tablet,2024
2024_0054,Campaign_2024_0054,2024-01-23,2024-08-22,Email,Europe,26886,9298,28662,46453.18,13484.64,Youth,Travel,Desktop,2024
2024_0055,Campaign_2024_0055,2024-04-12,2024-10-23,Print,South America,88864,83121,11265,43651.24,83318.23,Youth,Services,Mobile,2024
2024_0056,Campaign_2024_0056,2024-05-19,2024-08-24,Display,Europe,85251,36966,25570,48747.28,6375.34,Youth,Home,Mobile,2024
2024_0057,Campaign_2024_0057,2024-02-18,2024-09-03,Search,South America,23433,46938,30577,16463.64,112700.63,Youth,Travel,Mobile,2024
2024_0058,Campaign_2024_0058,2024-04-21,2024-11-27,Email,South America,67344,56722,37471,42356.03,46353.05,Seniors,Clothing,Desktop,2024
2024_0059,Campaign_2024_0059,2024-03-04,2024-12-18,Social,South America,29524,1516,84256,44916.49,122548.45,Youth,Electronics,Desktop,2024
2024_0060,Campaign_2024_0060,2024-04-13,2024-08-04,Print,Africa,9904,65464,39766,27524.54,43402.44,Seniors,Home,Desktop,2024
2024_0061,Campaign_2024_0061,2024-05-16,2024-10-17,Search,Africa,61361,15343,28242,31521.22,112168.94,Adults,Home,Mobile,2024
2024_0062,Campaign_2024_0062,2024-01-30,2024-12-09,Social,North America,25685,42245,71848,30122.3,17092.48,Seniors,Electronics,Tablet,2024
2024_0063,Campaign_2024_0063,2024-01-23,2024-12-02,Search,South America,9483,19836,61290,12739.81,137619.77,Youth,Electronics,Desktop,2024
2024_0064,Campaign_2024_0064,2024-02-18,2024-08-15,Social,North America,94274,37436,54886,17775.04,8183.69,Adults,Electronics,Mobile,2024
2024_0065,Campaign_2024_0065,2024-02-15,2024-11-15,Print,North America,95182,46966,84493,36917.9,138576.39,Adults,Services,Tablet,2024
2024_0066,Campaign_2024_0066,2024-04-17,2024-09-10,Social,South America,88038,23579,46763,8482.09,146732.92,Youth,Services,Desktop,2024
2024_0067,Campaign_2024_0067,2024-03-06,2024-07-25,Search,North America,23362,9201,63540,31854.27,82784.9,Adults,Travel,Tablet,2024
2024_0068,Campaign_2024_0068,2024-01-09,2024-09-09,Social,South America,28104,23655,30572,14809.1,39653.99,Adults,Clothing,Mobile,2024
2024_0069,Campaign_2024_0069,2024-05-09,2024-10-03,Email,North America,55558,58917,65906,37863.3,40266.17,Seniors,Services,Desktop,2024
2024_0070,Campaign_2024_0070,2024-06-10,2024-10-02,Search,Europe,80551,71708,10490,40609.24,115663.65,Youth,Services,Mobile,2024
2024_0071,Campaign_2024_0071,2024-06-30,2024-10-20,Email,South America,31410,42079,72883,10931.1,63323.99,Seniors,Services,Mobile,2024
2024_0072,Campaign_2024_0072,2024-02-15,2024-11-06,Print,Africa,47880,59381,17535,36074.04,137511.83,Adults,Home,Tablet,2024
2024_0073,Campaign_2024_0073,2024-03-05,2024-12-23,Email,Africa,17295,38500,25216,5346.04,122290.25,Youth,Electronics,Tablet,2024
2024_0074,Campaign_2024_0074,2024-05-20,2024-07-22,Social,Africa,78422,81539,143,42205.58,31709.38,Adults,Home,Desktop,2024
2024_0075,Campaign_2024_0075,2024-06-30,2024-07-10,Display,Africa,72722,35292,16271,21467.06,86065.35,Youth,Clothing,Mobile,2024
2024_0076,Campaign_2024_0076,2024-01-08,2024-10-01,Print,Asia,78826,30733,70853,15401.89,102973.3,Seniors,Home,Mobile,2024
2024_0077,Campaign_2024_0077,2024-06-27,2024-12-02,Search,Europe,44351,82960,57038,31965.27,130581.86,Seniors,Travel,Mobile,2024
2024_0078,Campaign_2024_0078,2024-05-19,2024-10-10,Display,Europe,87119,74138,57254,11800.66,128714.44,Adults,Services,Mobile,2024
2024_0079,Campaign_2024_0079,2024-06-27,2024-07-06,Search,Europe,18756,2688,59223,19440.95,64373.82,Youth,Services,Tablet,2024
2024_0080,Campaign_2024_0080,2024-05-02,2024-10-03,Print,Asia,25282,65139,80135,20616.39,50428.46,Adults,Services,Tablet,2024
2024_0081,Campaign_2024_0081,2024-03-03,2024-07-04,Email,North America,80191,89717,28603,9099.68,12246.64,Seniors,Clothing,Tablet,2024
2024_0082,Campaign_2024_0082,2024-02-29,2024-09-22,Social,South America,22700,20480,48452,1917.52,111297.05,Seniors,Services,Mobile,2024
2024_0083,Campaign_2024_0083,2024-01-14,2024-12-15,Display,South America,33270,81334,3723,45298.7,91840.72,Youth,Travel,Tablet,2024
2024_0084,Campaign_2024_0084,2024-05-10,2024-08-15,Email,Africa,37226,78845,5411,1796.48,142780.9,Adults,Electronics,Mobile,2024
2024_0085,Campaign_2024_0085,2024-04-28,2024-07-18,Email,Asia,15624,39101,65453,16948.29,76580.61,Youth,Travel,Desktop,2024
2024_0086,Campaign_2024_0086,2024-03-28,2024-09-12,Social,Asia,65108,31669,50160,32731.36,113911.85,Youth,Clothing,Desktop,2024
2024_0087,Campaign_2024_0087,2024-05-28,2024-07-10,Search,South America,62554,34917,5707,2023.97,59038.87,Seniors,Services,Tablet,2024
2024_0088,Campaign_2024_0088,2024-04-15,2024-07-19,Email,South America,88539,10917,68531,43961.61,114904.1,Seniors,Electronics,Mobile,2024
2024_0089,Campaign_2024_0089,2024-04-14,2024-11-16,Email,South America,94451,78382,77426,25441.23,123340.35,Seniors,Electronics,Mobile,2024
2024_0090,Campaign_2024_0090,2024-01-23,2024-09-06,Social,South America,50736,5497,13626,34082.7,52283.47,Seniors,Services,Tablet,2024
2024_0091,Campaign_2024_0091,2024-05-03,2024-07-22,Search,Africa,17897,26328,28675,8872.23,54024.49,Youth,Electronics,Desktop,2024
2024_0092,Campaign_2024_0092,2024-03-28,2024-10-20,Print,North America,76205,74598,7526,2269.31,54056.03,Adults,Travel,Desktop,2024
2024_0093,Campaign_2024_0093,2024-02-28,2024-09-21,Social,South America,83543,14014,83852,10376.18,62558.31,Youth,Services,Tablet,2024
2024_0094,Campaign_2024_0094,2024-01-04,2024-07-13,Display,South America,43912,87425,75461,5575.35,5470.89,Seniors,Travel,Mobile,2024
2024_0095,Campaign_2024_0095,2024-03-08,2024-08-31,Search,Asia,18987,83268,67019,33196.89,48440.78,Seniors,Services,Mobile,2024
2024_0096,Campaign_2024_0096,2024-04-30,2024-12-01,Email,Europe,58575,49705,61654,37149.7,63918.27,Youth,Clothing,Tablet,2024
2024_0097,Campaign_2024_0097,2024-06-19,2024-12-10,Print,Europe,53308,6615,39450,48088.62,55350.28,Seniors,Electronics,Desktop,2024
2024_0098,Campaign_2024_0098,2024-01-12,2024-11-19,Print,North America,94840,23100,38160,46270.63,75066.3,Youth,Electronics,Desktop,2024
2024_0099,Campaign_2024_0099,2024-06-24,2024-07-08,Email,Asia,19432,79251,44430,37961.9,37528.49,Adults,Electronics,Tablet,2024
2024_0100,Campaign_2024_0100,2024-03-31,2024-08-01,Social,Europe,42621,25388,75861,11894.72,78284.98,Youth,Electronics,Mobile,2024
2024_0101,Campaign_2024_0101,2024-03-10,2024-09-01,Search,Asia,77690,20765,972,7313.92,125391.48,Adults,Travel,Mobile,2024
